יישוב,pop2018,סוג מידע,value,date,StringencyIndex,last_updated
חצור הגלילית,9722.0,מספר חולים מאומתים,6.0,2020-04-21,1.0,2020-05-31
בית דגן,6533.0,מספר חולים מאומתים,4.0,2020-04-21,1.0,2020-05-31
מעלה עירון,14861.0,מספר חולים מאומתים,9.0,2020-04-21,1.0,2020-05-31
ירוחם,10126.0,מספר חולים מאומתים,6.0,2020-04-21,1.0,2020-05-31
מעלות-תרשיחא,22261.0,מספר חולים מאומתים,13.0,2020-04-21,1.0,2020-05-31
קרית ים,39556.0,מספר חולים מאומתים,23.0,2020-04-21,1.0,2020-05-31
חריש,8737.0,מספר חולים מאומתים,5.0,2020-04-21,1.0,2020-05-31
חיפה,272584.0,מספר חולים מאומתים,152.0,2020-04-21,1.0,2020-05-31
נהריה,58750.0,מספר חולים מאומתים,32.0,2020-04-21,1.0,2020-05-31
שערי תקווה,5584.0,מספר חולים מאומתים,3.0,2020-04-21,1.0,2020-05-31
ביר אל-מכסור,9866.0,מספר חולים מאומתים,5.0,2020-04-21,1.0,2020-05-31
אכסאל,14655.0,מספר חולים מאומתים,7.0,2020-04-21,1.0,2020-05-31
טמרה,33792.0,מספר חולים מאומתים,16.0,2020-04-21,1.0,2020-05-31
נס ציונה,45714.0,מספר חולים מאומתים,21.0,2020-04-21,1.0,2020-05-31
פוריידיס,13133.0,מספר חולים מאומתים,6.0,2020-04-21,1.0,2020-05-31
נחף,13167.0,מספר חולים מאומתים,6.0,2020-04-21,1.0,2020-05-31
אורנית,8822.0,מספר חולים מאומתים,4.0,2020-04-21,1.0,2020-05-31
זמר,6926.0,מספר חולים מאומתים,3.0,2020-04-21,1.0,2020-05-31
אילת,56568.0,מספר חולים מאומתים,24.0,2020-04-21,1.0,2020-05-31
