,Country,Total Cases,New Cases,Total Deaths,Region,ref,date,New Deaths,Total Recovered,Serious_Critical,ActiveCases,Tot Cases/1M pop,Tot Deaths/1M pop,Deaths/1M pop,Reported1st case
408,Philippines,3,,1,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,2,,,,,,
406,U.K.,9,,,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,8,,,,,,
405,U.A.E.,9,1,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,3,1,,,,,
407,Canada,8,,,N.America,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,1,,,,,,
403,France,12,,1,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,4,,,,,,
391,China,70542,2,1765,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,100,10728,11272,,,,,
392,Japan,414,76,1,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,17,9,,,,,
393,Singapore,75,3,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,19,5,,,,,
394,Hong Kong,57,1,1,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,2,7,,,,,
404,Macao,10,,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,5,,,,,,
397,Malaysia,22,,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,8,,,,,,
395,Thailand,34,,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,14,2,,,,,
399,Germany,16,,,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,3,,,,,,
400,Vietnam,16,,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,7,,,,,,
401,Australia,15,,,Oceania,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,10,,,,,,
402,USA,15,,,N.America,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,3,,,,,,
398,Taiwan,20,2,1,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,1,2,,,,,,
438,Philippines,3,,1,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,17/02/2020,,2,,,,,,
442,Spain,2,,,Europe,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,17/02/2020,,2,,,,,,
439,Italy,3,,,Europe,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,17/02/2020,,,2,,,,,
440,India,3,,,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,17/02/2020,,3,,,,,,
441,Russia,2,,,Europe,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,17/02/2020,,2,,,,,,
443,Cambodia,1,,,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,17/02/2020,,1,,,,,,
431,USA,15,,,N.America,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,17/02/2020,,3,,,,,,
445,Nepal,1,,,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,17/02/2020,,1,,,,,,
446,Belgium,1,,,Europe,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,17/02/2020,,1,,,,,,
